ResultModel(adx=53, sma=9, over=5, numberOfPositions=19, result=1.2237007373799447494330926533515)
ResultModel(adx=49, sma=7, over=9, numberOfPositions=15, result=1.2235431167376085757365411275706)
ResultModel(adx=53, sma=8, over=7, numberOfPositions=18, result=1.2232086518606042434905111303780)
ResultModel(adx=48, sma=7, over=9, numberOfPositions=14, result=1.2230281528091537622359529462546)
ResultModel(adx=29, sma=6, over=1, numberOfPositions=27, result=1.2225430128146254301517981784384)
ResultModel(adx=29, sma=6, over=2, numberOfPositions=27, result=1.2225430128146254301517981784384)
ResultModel(adx=29, sma=6, over=3, numberOfPositions=27, result=1.2225430128146254301517981784384)
ResultModel(adx=29, sma=6, over=4, numberOfPositions=27, result=1.2225430128146254301517981784384)
ResultModel(adx=29, sma=6, over=5, numberOfPositions=27, result=1.2225430128146254301517981784384)
ResultModel(adx=29, sma=6, over=6, numberOfPositions=27, result=1.2225430128146254301517981784384)
ResultModel(adx=26, sma=8, over=1, numberOfPositions=24, result=1.2223407994955355221816900443894)
ResultModel(adx=26, sma=8, over=2, numberOfPositions=24, result=1.2223407994955355221816900443894)
ResultModel(adx=26, sma=8, over=3, numberOfPositions=24, result=1.2223407994955355221816900443894)
ResultModel(adx=26, sma=8, over=4, numberOfPositions=24, result=1.2223407994955355221816900443894)
ResultModel(adx=26, sma=8, over=5, numberOfPositions=24, result=1.2223407994955355221816900443894)
ResultModel(adx=26, sma=8, over=6, numberOfPositions=24, result=1.2223407994955355221816900443894)
ResultModel(adx=26, sma=8, over=7, numberOfPositions=24, result=1.2223407994955355221816900443894)
ResultModel(adx=20, sma=2, over=1, numberOfPositions=30, result=1.2223152369721463198341254129334)
ResultModel(adx=20, sma=2, over=2, numberOfPositions=30, result=1.2223152369721463198341254129334)
ResultModel(adx=20, sma=2, over=3, numberOfPositions=30, result=1.2223152369721463198341254129334)
ResultModel(adx=20, sma=2, over=4, numberOfPositions=30, result=1.2223152369721463198341254129334)
ResultModel(adx=20, sma=2, over=5, numberOfPositions=30, result=1.2223152369721463198341254129334)
ResultModel(adx=20, sma=2, over=6, numberOfPositions=30, result=1.2223152369721463198341254129334)
ResultModel(adx=20, sma=2, over=7, numberOfPositions=30, result=1.2223152369721463198341254129334)
ResultModel(adx=30, sma=9, over=7, numberOfPositions=23, result=1.2219877392539298820733625944578)
ResultModel(adx=30, sma=9, over=8, numberOfPositions=23, result=1.2219877392539298820733625944578)
ResultModel(adx=46, sma=7, over=8, numberOfPositions=16, result=1.2213970123553521805496722769498)
