Date,Price,Open,High,Low,
10/26/2021,1792.63,1807.90,1808.50,1781.98,
10/27/2021,1796.69,1793.04,1799.38,1782.83,
10/28/2021,1798.62,1796.78,1810.49,1792.34,
10/29/2021,1782.81,1799.03,1801.49,1771.70,
11/1/2021,1793.05,1783.24,1796.20,1778.89,
11/2/2021,1787.28,1793.61,1796.91,1785.78,
11/3/2021,1769.52,1787.71,1788.42,1758.45,
11/4/2021,1791.70,1769.98,1799.26,1769.13,
11/5/2021,1816.73,1792.14,1818.61,1785.17,
11/8/2021,1824.26,1818.44,1826.93,1812.08,
11/9/2021,1831.48,1824.74,1833.08,1817.70,
11/10/2021,1849.57,1831.90,1868.70,1821.60,
11/11/2021,1861.52,1849.69,1866.35,1842.66,
11/12/2021,1864.04,1861.99,1868.69,1844.78,
11/15/2021,1862.46,1868.15,1870.57,1855.73,
11/16/2021,1849.91,1862.94,1877.40,1849.16,
11/17/2021,1866.96,1850.34,1868.32,1849.38,
11/18/2021,1858.46,1866.97,1871.29,1854.94,
11/19/2021,1844.60,1858.90,1865.76,1842.98,
11/22/2021,1805.04,1846.74,1849.49,1801.95,
11/23/2021,1789.73,1805.65,1812.50,1781.63,
11/24/2021,1788.50,1790.34,1797.01,1778.44,
11/25/2021,1788.45,1789.49,1795.65,1785.85,
11/26/2021,1791.81,1788.70,1815.78,1780.79,
11/29/2021,1785.01,1790.05,1799.80,1781.23,
11/30/2021,1773.78,1785.34,1809.38,1769.43,
12/1/2021,1782.66,1774.15,1794.80,1771.96,
12/2/2021,1768.64,1783.05,1783.58,1761.68,
12/3/2021,1783.74,1768.84,1786.44,1765.63,
12/6/2021,1778.11,1784.79,1787.87,1775.91,
12/7/2021,1784.04,1778.08,1788.02,1771.93,
12/8/2021,1782.06,1784.40,1793.60,1779.45,
12/9/2021,1774.46,1782.49,1788.05,1772.80,
12/10/2021,1782.51,1774.94,1789.47,1769.43,
12/13/2021,1786.94,1782.94,1791.78,1781.51,
12/14/2021,1770.18,1787.19,1789.74,1766.31,
12/15/2021,1777.06,1770.49,1781.04,1753.84,
12/16/2021,1799.03,1777.40,1799.53,1775.43,
12/17/2021,1797.68,1799.55,1814.63,1795.67,
12/20/2021,1789.32,1799.40,1804.32,1787.98,
12/21/2021,1788.36,1789.74,1800.85,1784.58,
12/22/2021,1803.40,1788.94,1805.13,1785.41,
12/23/2021,1807.91,1803.69,1811.02,1798.88,
12/24/2021,1808.11,1808.19,1812.70,1801.61,
12/27/2021,1810.90,1808.19,1813.74,1802.89,
12/28/2021,1805.37,1811.84,1820.70,1804.38,
12/29/2021,1803.66,1805.59,1808.16,1788.94,
12/30/2021,1815.01,1803.99,1817.44,1795.78,
12/31/2021,1828.39,1815.44,1830.58,1814.15,
1/3/2022,1800.85,1830.14,1832.06,1797.93,
1/4/2022,1814.56,1801.34,1816.83,1798.44,
1/5/2022,1809.53,1814.90,1829.82,1807.97,
1/6/2022,1788.68,1809.94,1811.89,1786.03,
1/7/2022,1795.63,1789.55,1799.20,1782.63,
1/10/2022,1801.41,1795.41,1802.57,1790.43,
1/11/2022,1822.01,1801.69,1823.35,1800.09,
1/12/2022,1825.32,1822.49,1828.33,1814.20,
1/13/2022,1822.09,1825.94,1828.38,1811.83,
1/14/2022,1817.22,1822.55,1829.66,1814.13,
1/17/2022,1818.99,1817.90,1823.72,1812.67,
1/18/2022,1813.54,1819.77,1823.01,1805.53,
1/19/2022,1839.96,1813.69,1843.72,1809.97,
1/20/2022,1838.36,1840.30,1848.36,1835.67,
1/21/2022,1833.24,1838.65,1843.53,1828.04,
1/24/2022,1843.06,1834.49,1844.53,1829.09,
1/25/2022,1847.56,1843.34,1853.98,1834.64,
1/26/2022,1818.12,1847.99,1850.44,1814.90,
1/27/2022,1796.51,1818.44,1822.51,1790.98,
1/28/2022,1791.03,1796.94,1799.82,1779.88,
1/31/2022,1796.47,1791.19,1800.23,1785.03,
2/1/2022,1800.65,1796.72,1809.16,1795.13,
2/2/2022,1806.50,1800.94,1811.53,1794.11,
2/3/2022,1804.40,1807.19,1809.22,1788.39,
2/4/2022,1807.49,1804.80,1815.44,1790.94,
2/7/2022,1820.31,1806.99,1824.06,1806.94,
2/8/2022,1825.48,1820.59,1829.09,1815.06,
2/9/2022,1832.43,1826.05,1836.35,1824.50,
2/10/2022,1826.57,1832.94,1842.35,1821.46,
2/11/2022,1859.96,1827.25,1865.63,1820.79,
2/14/2022,1870.29,1861.55,1874.41,1850.45,
2/15/2022,1853.06,1870.94,1879.89,1844.27,
2/16/2022,1868.37,1853.40,1873.16,1849.94,
2/17/2022,1897.27,1868.84,1901.57,1867.18,
2/18/2022,1897.87,1897.94,1902.84,1886.16,
2/21/2022,1905.63,1900.40,1908.38,1887.19,
2/22/2022,1898.13,1905.89,1914.44,1891.16,
2/23/2022,1907.55,1898.44,1911.00,1889.23,
2/24/2022,1903.14,1907.99,1974.48,1879.05,
2/25/2022,1887.56,1903.55,1921.54,1883.10,
2/28/2022,1907.90,1920.86,1929.36,1890.59,
3/1/2022,1943.22,1908.19,1950.45,1900.93,
3/2/2022,1926.11,1943.69,1948.18,1913.82,
3/3/2022,1935.21,1926.49,1941.47,1921.73,
3/4/2022,1968.45,1935.65,1970.80,1929.78,
3/7/2022,1998.11,1977.09,2002.90,1960.76,
3/8/2022,2052.41,1998.30,2070.29,1981.00,
3/9/2022,1991.49,2052.75,2059.25,1976.30,
3/10/2022,1995.86,1991.94,2009.57,1970.66,
3/11/2022,1985.29,1996.15,1999.22,1958.80,
3/14/2022,1951.11,1985.49,1990.33,1949.87,
3/15/2022,1917.84,1951.02,1954.95,1906.73,
3/16/2022,1927.93,1918.10,1929.87,1895.22,
3/17/2022,1942.64,1927.56,1950.10,1923.40,
3/18/2022,1921.09,1942.90,1945.51,1917.93,
3/21/2022,1935.95,1922.24,1940.69,1918.01,
3/22/2022,1921.44,1935.86,1938.59,1910.89,
3/23/2022,1943.42,1922.35,1948.55,1915.32,
3/24/2022,1957.48,1944.88,1966.19,1937.18,
3/25/2022,1957.40,1957.49,1964.49,1943.55,
3/28/2022,1923.20,1958.75,1959.36,1916.83,
3/29/2022,1919.19,1922.95,1929.41,1890.03,
3/30/2022,1933.06,1920.07,1938.53,1915.74,
3/31/2022,1937.23,1932.80,1949.92,1918.98,
4/1/2022,1924.30,1937.51,1939.99,1917.56,
4/4/2022,1932.44,1924.94,1937.05,1915.55,
4/5/2022,1923.53,1933.38,1944.73,1917.74,
4/6/2022,1925.32,1923.69,1933.65,1915.24,
4/7/2022,1932.17,1925.32,1938.07,1920.27,
4/8/2022,1945.85,1931.92,1948.46,1927.38,
4/11/2022,1953.43,1947.15,1969.41,1940.05,
4/12/2022,1966.59,1953.99,1978.63,1949.48,
4/13/2022,1977.72,1967.21,1981.82,1962.59,
4/14/2022,1973.52,1977.78,1980.81,1960.90,
4/15/2022,1974.54,1974.28,1975.69,1973.05,
4/18/2022,1978.50,1972.84,1998.60,1971.05,
4/19/2022,1949.84,1979.19,1982.31,1943.80,
4/20/2022,1957.41,1950.34,1958.57,1939.16,
4/21/2022,1951.49,1957.84,1958.00,1936.79,
4/22/2022,1929.73,1951.49,1955.93,1926.52,
4/25/2022,1897.69,1931.09,1934.71,1891.05,
4/26/2022,1905.56,1897.95,1911.50,1895.38,
4/27/2022,1885.74,1905.45,1907.25,1881.39,
4/28/2022,1894.34,1886.14,1897.32,1872.19,
4/29/2022,1896.40,1894.43,1919.97,1892.25,
5/2/2022,1862.77,1896.09,1900.10,1854.74,
5/3/2022,1867.79,1863.05,1878.19,1850.33,
5/4/2022,1881.21,1868.04,1889.74,1861.17,
5/5/2022,1877.01,1881.47,1910.03,1872.48,
5/6/2022,1882.96,1877.30,1892.93,1865.84,
5/9/2022,1853.92,1883.80,1885.95,1851.36,
5/10/2022,1838.14,1853.74,1865.76,1835.46,
5/11/2022,1852.12,1838.41,1857.99,1831.83,
5/12/2022,1821.65,1852.58,1859.30,1820.93,
5/13/2022,1811.15,1822.48,1829.06,1799.24,
5/16/2022,1823.79,1811.05,1827.23,1786.95,
5/17/2022,1814.67,1824.18,1836.55,1812.68,
5/18/2022,1815.61,1815.20,1825.02,1807.30,
5/19/2022,1841.72,1816.60,1849.46,1810.55,
5/20/2022,1845.68,1842.12,1849.59,1832.35,
5/23/2022,1853.22,1846.53,1865.65,1844.08,
5/24/2022,1865.90,1853.59,1869.99,1849.06,
5/25/2022,1852.83,1865.09,1868.40,1842.94,
5/26/2022,1849.82,1853.48,1854.71,1841.14,
5/27/2022,1852.73,1850.48,1862.30,1847.76,
5/30/2022,1856.21,1852.19,1864.34,1847.92,
5/31/2022,1837.09,1856.40,1857.69,1834.90,
6/1/2022,1845.55,1837.37,1850.40,1828.28,
6/2/2022,1868.13,1846.44,1870.69,1843.76,
6/3/2022,1850.77,1868.53,1874.30,1847.02,
6/6/2022,1841.00,1850.29,1858.15,1840.50,
6/7/2022,1851.97,1841.60,1855.86,1836.73,
6/8/2022,1853.26,1852.51,1859.90,1844.35,
